#{"t_start": 1635085209.065227, "env_id": null}
r,l,t,is_success
-14.367481,93,4205.599163,1
-7.119963,19,4207.955564,1
-2.960707,14,4209.77976,1
-3.678813,16,4211.881607,1
-12.006341,20,4214.630429,0
-6.051477,21,4217.578959,1
-11.802847,28,4221.164125,1
-9.613773,31,4224.82198,1
-7.589614,21,4227.443,1
-2.68589,15,4229.296487,1
-6.659209,20,4231.669071,1
-5.563196,24,4234.556433,1
-2.978564,16,4236.404983,1
-5.136731,18,4238.440356,1
-6.541274,22,4241.314983,1
-8.341284,24,4243.983121,1
-6.662533,23,4246.656087,1
-6.161774,17,4248.63549,1
-4.3597,19,4250.78866,1
-9.113417,32,4254.43068,1
-5.369906,17,4256.417593,1
-5.834485,22,4258.96417,1
-7.768636,31,4262.702601,1
-5.314538,22,4265.311003,1
-7.13326,19,4267.698183,1
-5.230947,20,4270.153296,1
-2.032744,11,4271.447241,1
-7.060455,19,4273.646825,1
-8.879297,21,4276.123405,1
-12.122615,37,4280.749808,1
-6.689019,26,4283.766326,1
-6.746205,19,4286.03933,1
-8.395421,28,4289.262425,1
-9.217469,30,4293.071689,1
-6.299541,27,4296.098985,1
